chapter	lemma	POS	NE	O
1.	lemma	POS	NE	O
mr.	lemma	POS	NE	O
sherlock	lemma	POS	NE	O
holmes	lemma	POS	NE	O
mr.	lemma	POS	NE	O
sherlock	lemma	POS	NE	O
holmes	lemma	POS	NE	O
,	lemma	POS	NE	O
who	lemma	POS	NE	O
was	lemma	POS	NE	O
usually	lemma	POS	NE	O
very	lemma	POS	NE	O
late	lemma	POS	NE	O
in	lemma	POS	NE	O
the	lemma	POS	NE	O
mornings	lemma	POS	NE	O
,	lemma	POS	NE	O
save	lemma	POS	NE	O
upon	lemma	POS	NE	O
those	lemma	POS	NE	O
not	lemma	POS	NE	O
infrequent	lemma	POS	NE	B-NEG
occasions	lemma	POS	NE	O
when	lemma	POS	NE	O
he	lemma	POS	NE	O
was	lemma	POS	NE	O
up	lemma	POS	NE	O
all	lemma	POS	NE	O
night	lemma	POS	NE	O
,	lemma	POS	NE	O
was	lemma	POS	NE	O
seated	lemma	POS	NE	O
at	lemma	POS	NE	O
the	lemma	POS	NE	O
breakfast	lemma	POS	NE	O
table	lemma	POS	NE	O
.	lemma	POS	NE	O
i	lemma	POS	NE	O
stood	lemma	POS	NE	O
upon	lemma	POS	NE	O
the	lemma	POS	NE	O
hearth-rug	lemma	POS	NE	O
and	lemma	POS	NE	O
picked	lemma	POS	NE	O
up	lemma	POS	NE	O
the	lemma	POS	NE	O
stick	lemma	POS	NE	O
which	lemma	POS	NE	O
our	lemma	POS	NE	O
visitor	lemma	POS	NE	O
had	lemma	POS	NE	O
left	lemma	POS	NE	O
behind	lemma	POS	NE	O
him	lemma	POS	NE	O
the	lemma	POS	NE	O
night	lemma	POS	NE	O
before	lemma	POS	NE	O
.	lemma	POS	NE	O
it	lemma	POS	NE	O
was	lemma	POS	NE	O
a	lemma	POS	NE	O
fine	lemma	POS	NE	O
,	lemma	POS	NE	O
thick	lemma	POS	NE	O
piece	lemma	POS	NE	O
of	lemma	POS	NE	O
wood	lemma	POS	NE	O
,	lemma	POS	NE	O
bulbous-headed	lemma	POS	NE	O
,	lemma	POS	NE	O
of	lemma	POS	NE	O
the	lemma	POS	NE	O
sort	lemma	POS	NE	O
which	lemma	POS	NE	O
is	lemma	POS	NE	O
known	lemma	POS	NE	O
as	lemma	POS	NE	O
a	lemma	POS	NE	O
``	lemma	POS	NE	O
penang	lemma	POS	NE	O
lawyer	lemma	POS	NE	O
.	lemma	POS	NE	O
''	lemma	POS	NE	O
just	lemma	POS	NE	O
under	lemma	POS	NE	O
the	lemma	POS	NE	O
head	lemma	POS	NE	O
was	lemma	POS	NE	O
a	lemma	POS	NE	O
broad	lemma	POS	NE	O
silver	lemma	POS	NE	O
band	lemma	POS	NE	O
nearly	lemma	POS	NE	O
an	lemma	POS	NE	O
inch	lemma	POS	NE	O
across	lemma	POS	NE	O
